ListingID,Title,UserID,baseurl,Price,AboutListing,HostName,MemberDate,Lat,Long,BookInstantly,Cancellation,OverallCounter,PageCounter,PageNumber,A_AC,A_Breakfast,A_CableTV,A_CarbonMonoxDetector,A_Doorman,A_Dryer,A_TV,A_Elevator,A_Essentials,A_Events,A_FamilyFriendly,A_FireExt,A_Fireplace,A_FirstAidKit,A_Gym,A_Heat,A_HotTub,A_Intercom,A_Internet,A_Kitchen,A_Parking,A_Pets,A_Pool,A_SafetyCard,A_Shampoo,A_SmokeDetector,A_Smoking,A_Washer,A_Wheelchair,P_Cleaning,P_Deposit,P_ExtraPeople,P_Monthly,P_Weekly,R_CI,R_acc,R_clean,R_comm,R_loc,R_val,RespRate,RespTime,S_Accomodates,S_Bathrooms,S_BedType,S_Bedrooms,S_CheckIn,S_Checkout,S_NumBeds,S_PropType,ShortDesc
6742905,start here&walk all around boston,324630,https://www.airbnb.com/s/Boston--MA?page=1,99,,,,42.36108738048634,-71.0653197581097,No,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8694786,Private room near train line,45623445,https://www.airbnb.com/s/Boston--MA?page=1,32,,,,42.43207430340309,-71.07895990689985,No,,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10418854,MIT/Kendall Square Penthouse Room,52962384,https://www.airbnb.com/s/Boston--MA?page=1,100,,,,42.368579310328805,-71.09221713798826,No,,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10122428,Modern Cambridge Loft w/ City Views,51943074,https://www.airbnb.com/s/Boston--MA?page=1,107,,,,42.37029048214922,-71.07278356333128,No,,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1143563,Airbnb 5-star room near Harvard/MIT,3847452,https://www.airbnb.com/s/Boston--MA?page=1,98,,,,42.370343927073996,-71.10729869791187,No,,5,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
666913,Sunny Centrally Located Single,814202,https://www.airbnb.com/s/Boston--MA?page=1,35,,,,42.38152001216975,-71.08619692421473,No,,6,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9757412,South End Gem,50318988,https://www.airbnb.com/s/Boston--MA?page=1,49,,,,42.336760458154714,-71.07576188649263,No,,7,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1375248,Spacious Sun Filled Studio Apt.,7027771,https://www.airbnb.com/s/Boston--MA?page=1,80,,,,42.37868307084781,-70.99107614776997,No,,8,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10527364,Amazing Ocean View,47491710,https://www.airbnb.com/s/Boston--MA?page=1,40,,,,42.3823723183941,-70.97238614725435,No,,9,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8200659,Quaint Back Bay Bachelor Apartment,38571449,https://www.airbnb.com/s/Boston--MA?page=1,125,,,,42.35309582101627,-71.07376000980338,No,,10,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6552654,Quaint Renovated Rowhouse,20582119,https://www.airbnb.com/s/Boston--MA?page=1,180,,,,42.34307007674783,-71.0815526907506,No,,11,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9887215,Boston Downtown Room,24629559,https://www.airbnb.com/s/Boston--MA?page=1,98,,,,42.34985058164496,-71.0599118391389,No,,12,12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10552237,One Bedroom available,41720242,https://www.airbnb.com/s/Boston--MA?page=1,75,,,,42.347962376953326,-71.09706443543142,No,,13,13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7954270,Beacon Hill Apt by MGH/Harvard/MIT,9402135,https://www.airbnb.com/s/Boston--MA?page=1,79,,,,42.35884088542786,-71.06966251721593,No,,14,14,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8127009,Bright appartment-12' from downtown,28389529,https://www.airbnb.com/s/Boston--MA?page=1,55,,,,42.386705171507565,-71.07878482830968,No,,15,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5550670,Lovely room near T,19246369,https://www.airbnb.com/s/Boston--MA?page=1,59,,,,42.38038015311664,-71.0847021557471,No,,16,16,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4227664,(5) Amory Guest House Harvard MIT,21895566,https://www.airbnb.com/s/Boston--MA?page=1,79,,,,42.371796783616865,-71.10040431919495,No,,17,17,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66288,Architects Live-in Studio in Boston,324630,https://www.airbnb.com/s/Boston--MA?page=1,75,,,,42.33215157576381,-71.10674178342134,No,,18,18,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1695275,Fenway park in view! Boston Studio,324630,https://www.airbnb.com/s/Boston--MA?page=2,99,,,,42.34772633759232,-71.09394751834036,No,,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
591248,Convenient and Close to Everywhere,814202,https://www.airbnb.com/s/Boston--MA?page=2,47,,,,42.38347372378806,-71.08532573035392,No,,4,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6676364,"Cozy, high-rise room, stunning view",13382900,https://www.airbnb.com/s/Boston--MA?page=2,84,,,,42.33886860712996,-71.10709963799906,No,,6,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6968030,A Pleasant Stay on Pleasant Place 2,12937551,https://www.airbnb.com/s/Boston--MA?page=2,45,,,,42.36392239102919,-71.10657500827381,No,,8,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8400275,"Boston around the block,fenway park",324630,https://www.airbnb.com/s/Boston--MA?page=2,99,,,,42.34569073544391,-71.09326627246774,No,,10,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2776143,"On Beacon Hill: Shaker, Not Stirred",324630,https://www.airbnb.com/s/Boston--MA?page=2,99,,,,42.3608734517646,-71.06667207320037,No,,12,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285356,"centrally located, connected pad",814202,https://www.airbnb.com/s/Boston--MA?page=2,45,,,,42.38314089033681,-71.08754940986604,No,,14,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4359160,north slope studio in boston proper,324630,https://www.airbnb.com/s/Boston--MA?page=2,99,,,,42.361079422623845,-71.06562533879614,No,,16,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8000857,"Comfortable, well located double",814202,https://www.airbnb.com/s/Boston--MA?page=2,45,,,,42.381749502854085,-71.08869304877712,No,,18,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
591318,Close and Convenient to Everywhere,814202,https://www.airbnb.com/s/Boston--MA?page=2,45,,,,42.38215415518623,-71.08822058018606,No,,20,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251657,"connected ,centrally located pad",814202,https://www.airbnb.com/s/Boston--MA?page=2,45,,,,42.381345310073435,-71.08847906771845,No,,22,11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8001176,"Well located, comfortable double",814202,https://www.airbnb.com/s/Boston--MA?page=2,48,,,,42.38201185731738,-71.08897859951725,No,,24,12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10906,Sofa-isticated Basic,37347,https://www.airbnb.com/s/Boston--MA?page=2,35,,,,42.38295732593062,-71.09334181829635,No,,26,13,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10629541,Modern home minutes from Harvard,636016,https://www.airbnb.com/s/Boston--MA?page=2,63,,,,42.38307035237159,-71.11051962912525,No,,28,14,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8072444,"Sunny near the T, Harvard,Tufts,MIT",27499191,https://www.airbnb.com/s/Boston--MA?page=2,90,,,,42.38625635259948,-71.10977361146163,No,,30,15,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
